投資組合截至,"2014/12/30"
 
股票代號,成分股名稱,比重(%),上市交易所代號,SEDOL,市場價格,市值,A股股份數目,A股連接產品連接的股份數目,行業
"601318","中國平安","8.52","XSHG","B1SVWB6","92.22","7,419,812,248","11,177,417.00","69,280,649.00","金融"
"600030","中信證券","7.27","XSHG","6579355","42.40","6,335,961,933","21,062,038.00","128,380,883.00","金融"
"600016","民生銀行","6.37","XSHG","6310747","13.66","5,548,685,691","51,902,409.00","354,316,537.00","金融"
"600036","招商銀行","6.04","XSHG","6518723","19.87","5,264,003,227","32,417,418.00","232,529,476.00","金融"
"600000","浦發銀行","4.47","XSHG","6182043","19.46","3,891,267,971","22,214,808.00","177,720,113.00","金融"
"601166","興業銀行","4.38","XSHG","B1P13B6","20.60","3,816,022,599","25,785,499.00","159,430,779.00","金融"
"600837","海通證券","3.99","XSHG","6766555","30.26","3,476,737,543","14,013,686.00","100,887,980.00","金融"
"601328","交通銀行","3.29","XSHG","B1W9Z06","8.38","2,867,925,880","49,285,301.00","293,131,586.00","金融"
"000002","萬科","3.11","XSHE","6803708","16.02","2,710,174,588","24,407,850.00","144,807,162.00","金融"
"601288","農業銀行","2.77","XSHG","B620Y41","4.49","2,409,526,336","64,143,800.00","473,032,556.00","金融"
"601668","中國建築","2.51","XSHG","B3Y6LV2","9.09","2,189,605,538","38,114,320.00","202,895,958.00","工業"
"601398","工商銀行","2.51","XSHG","B1G2JY3","5.97","2,188,129,469","44,321,866.00","322,319,030.00","金融"
"601601","中國太保","2.36","XSHG","B29WFR2","40.51","2,055,293,941","4,898,214.00","45,838,234.00","金融"
"600519","貴州茅臺","2.28","XSHG","6414832","236.75","1,984,523,054","1,100,523.00","7,282,005.00","消費品"
"000001","深圳發展银行","2.18","XSHE","6802006","19.64","1,899,180,682","9,960,491.00","86,738,801.00","金融"
"600887","伊利股份","2.12","XSHG","6458841","36.26","1,849,966,992","6,244,965.00","44,768,298.00","消費品"
"000651","格力電器","1.91","XSHE","6990257","45.30","1,661,834,756","-","36,686,015.00","消費品"
"601006","大秦鐵路","1.82","XSHG","B193HF0","13.23","1,587,718,118","15,167,686.00","104,854,503.00","工業"
"601939","中國建設","1.75","XSHG","B24G126","8.32","1,526,203,949","17,641,000.00","165,689,943.00","金融"
"601169","北京商行","1.69","XSHG","B249NZ2","13.49","1,474,561,608","10,523,259.00","98,747,011.00","金融"
"601628","中國人壽","1.67","XSHG","B1LBS82","43.12","1,455,826,090","4,439,075.00","29,323,554.00","金融"
