投資組合截至,"2014/10/31"
 
股票代號,成分股名稱,比重(%),上市交易所代號,SEDOL,市場價格,市值,股份數目,行業,
"601318","中國平安","3.53","XSHG","B1SVWB6","54.26","9,783,215","180,303","金融","-"
"600036","招商銀行","3.06","XSHG","6518723","13.63","8,474,608","621,850","金融","-"
"600016","民生銀行","3.00","XSHG","6310747","8.13","8,315,006","1,023,214","金融","-"
"601166","興業銀行","2.13","XSHG","B1P13B6","13.70","5,902,747","430,739","金融","-"
"600000","浦發銀行","1.96","XSHG","6182043","12.87","5,427,998","421,725","金融","-"
"600030","中信證券","1.79","XSHG","6579355","16.74","4,965,466","296,537","金融","-"
"000002","萬科","1.56","XSHE","6803708","11.86","4,326,561","364,758","金融","-"
"600837","海通證券","1.48","XSHG","6766555","13.43","4,091,810","304,764","金融","-"
"600519","貴州茅臺","1.22","XSHG","6414832","197.71","3,376,058","17,076","基本消費品","-"
"601328","交通銀行","1.18","XSHG","B1W9Z06","5.56","3,273,003","588,163","金融","-"
"000651","格力電器","1.17","XSHE","6990257","35.84","3,236,738","90,319","非必需消費品","-"
"601288","農業銀行","1.16","XSHG","B620Y41","3.23","3,206,496","992,615","金融","-"
"601601","中國太保","1.08","XSHG","B29WFR2","25.20","3,004,839","119,243","金融","-"
"601398","工商銀行","1.08","XSHG","B1G2JY3","4.62","3,000,478","649,679","金融","-"
"000001","深圳發展银行","1.07","XSHE","6802006","13.92","2,977,037","213,894","金融","-"
"601818","光大銀行","1.02","XSHG","B53SCQ5","3.76","2,839,859","755,215","金融","-"
"600104","上海汽車","1.02","XSHG","6086974","22.54","2,828,297","125,497","非必需消費品","-"
"600887","伊利股份","1.01","XSHG","6458841","30.27","2,795,887","92,359","基本消費品","-"
"601169","北京商行","0.92","XSHG","B249NZ2","10.64","2,557,298","240,405","金融","-"
"601668","中國建築","0.88","XSHG","B3Y6LV2","4.39","2,451,951","558,370","工業","-"
"601088","中國神華能源","0.86","XSHG","B281JM3","19.12","2,392,548","125,152","能源","-"
"601006","大秦鐵路","0.82","XSHG","B193HF0","10.07","2,272,259","225,655","工業","-"
"601989","中國重工","0.75","XSHG","B4X9DB3","7.87","2,070,890","263,004","工業","-"
"600900","長江電力","0.68","XSHG","6711630","10.42","1,892,567","181,577","公用事業","-"
"601939","中國建設","0.67","XSHG","B24G126","5.27","1,862,664","353,141","金融","-"
"600015","華夏銀行","0.66","XSHG","6683438","11.08","1,815,754","163,890","金融","-"
"600048","保利地產","0.64","XSHG","B19RB38","7.28","1,774,585","243,731","金融","-"
"600383","金地集團 ","0.61","XSHG","6320973","10.04","1,703,949","169,642","金融","-"
"002024","蘇寧電器","0.61","XSHE","B01Y312","10.40","1,695,492","163,064","非必需消費品","-"
"000333","美的集團","0.60","XSHE","BDVHRJ8","26.37","1,666,577","63,193","非必需消費品","-"
"000858","五糧液","0.58","XSHE","6109901","22.32","1,609,256","72,092","基本消費品","-"
"600585","海螺水泥","0.58","XSHG","6441595","21.74","1,600,479","73,613","原材料","-"
"000776","廣發證券","0.58","XSHE","6107176","14.66","1,597,466","108,947","金融","-"
"600111","包鋼稀土","0.54","XSHG","6042017","27.76","1,484,984","53,492","原材料","-"
"601857","中國石油","0.53","XSHG","B28SLD9","9.89","1,469,560","148,546","能源","-"
"600089","特變電工","0.52","XSHG","6003973","12.25","1,453,689","118,643","工業","-"
"600028","中國石化","0.52","XSHG","6373728","6.65","1,432,240","215,375","能源","-"
"600050","中國聯通","0.51","XSHG","6547998","4.58","1,424,634","311,019","電訊業務","-"
"000063","中興通訊","0.50","XSHE","6073062","19.18","1,383,010","72,106","電訊業務","-"
"600999","招商銀行","0.49","XSHG","B59QNS2","15.51","1,367,019","88,148","金融","-"
"601390","中國中鐵","0.49","XSHG","B292YZ3","5.22","1,362,171","260,748","工業","-"
"600276","恒瑞醫藥","0.49","XSHG","6288457","49.15","1,349,542","27,458","醫療保健","-"
"600150","中國船舶","0.48","XSHG","6112910","50.97","1,341,844","26,328","工業","-"
"601688","華泰証券","0.48","XSHG","B61VK25","13.21","1,341,457","101,536","金融","-"
"000625","長安汽車","0.47","XSHE","6193948","18.49","1,309,840","70,855","非必需消費品","-"
"600011","華能國際","0.47","XSHG","6422136","8.18","1,304,442","159,529","公用事業","-"
"601766","中國南車","0.47","XSHG","B3CPT84","7.32","1,299,514","177,559","工業","-"
"000538","雲南白藥","0.47","XSHE","6984045","67.47","1,289,853","19,117","醫療保健","-"
"000725","京東方","0.46","XSHE","6314697","3.33","1,284,884","385,700","資訊科技","-"
"600795","國電電力","0.44","XSHG","6107284","3.75","1,216,631","324,633","公用事業","-"
"600256","廣匯股份","0.44","XSHG","6247964","10.27","1,212,511","118,046","能源","-"
"002450","康得新","0.44","XSHE","B3SYJL8","41.22","1,207,147","29,282","原材料","-"
"600535","天士力","0.43","XSHG","6541525","52.03","1,205,399","23,169","醫療保健","-"
"600518","康美藥業","0.42","XSHG","6334350","20.14","1,177,582","58,472","醫療保健","-"
"600886","國投電力","0.42","XSHG","6412687","9.20","1,175,937","127,834","公用事業","-"
"601299","中國北車","0.42","XSHG","B502464","8.14","1,172,802","144,097","工業","-"
"601336","新華保險","0.42","XSHG","B75FVJ4","37.16","1,167,695","31,422","金融","-"
"600018","上港集團","0.42","XSHG","B1G9126","6.69","1,156,107","172,867","工業","-"
"601628","中國人壽","0.42","XSHG","B1LBS82","20.39","1,152,493","56,518","金融","-"
"002415","海康威視","0.42","XSHE","B450X03","25.33","1,150,511","45,429","資訊科技","-"
"600406","國電南瑞","0.41","XSHG","6695228","20.82","1,131,248","54,333","工業","-"
"601901","方正證券","0.41","XSHG","B3Y2110","8.04","1,123,058","139,718","金融","-"
"000783","長江證券","0.40","XSHE","6016670","8.81","1,101,781","125,092","金融","-"
"000100","TCL集團","0.40","XSHE","6731133","4.01","1,101,314","274,457","非必需消費品","-"
"600690","齊魯海爾","0.40","XSHG","6716884","20.86","1,099,722","52,723","非必需消費品","-"
"600010","包鋼股份","0.39","XSHG","6335933","3.55","1,084,121","305,746","原材料","-"
"600196","複星醫藥","0.38","XSHG","6121187","24.48","1,064,979","43,504","醫療保健","-"
"600637","百視通","0.38","XSHG","6801382","40.37","1,052,888","26,083","非必需消費品","-"
