排名,代码,简称,收盘（元）,权数（%）,涨跌,涨跌幅（%）,指数贡献点,成交量（万股）,成交额（万元）,总股本（亿股）,流通股本,总市值,流通市值,证监会行业,wind行业
1,601318.SH,中国平安,84.87 ,4.14 ,-3.23 ,-3.67 ,-6.12 ,"23,400.56 ","1,993,577.80 ",91.40 ,48.37 ,"7,757.22 ","4,105.04 ",保险业,金融
2,600016.SH,民生银行,10.43 ,2.69 ,-0.26 ,-2.43 ,-2.64 ,"47,574.27 ","495,763.58 ",342.31 ,272.97 ,"3,570.26 ","2,847.09 ",货币金融服务,金融
3,600030.SH,中信证券,35.40 ,2.65 ,-1.44 ,-3.91 ,-4.18 ,"53,704.41 ","1,907,040.19 ",110.17 ,75.01 ,"3,899.99 ","2,655.39 ",资本市场服务,金融
4,600036.SH,招商银行,17.70 ,2.63 ,-0.47 ,-2.59 ,-2.75 ,"29,176.00 ","518,416.88 ",252.20 ,117.86 ,"4,463.91 ","2,086.21 ",货币金融服务,金融
5,601166.SH,兴业银行,19.34 ,2.15 ,-0.81 ,-4.02 ,-3.48 ,"59,770.03 ","1,158,293.31 ",190.52 ,109.91 ,"3,684.72 ","2,125.68 ",货币金融服务,金融
6,600837.SH,海通证券,28.84 ,1.94 ,-1.15 ,-3.83 ,-3.00 ,"53,031.84 ","1,533,010.25 ",95.85 ,76.76 ,"2,764.23 ","2,213.67 ",资本市场服务,金融
7,600000.SH,浦发银行,17.68 ,1.81 ,-0.54 ,-2.96 ,-2.16 ,"42,292.71 ","750,901.33 ",186.53 ,104.12 ,"3,297.93 ","1,840.88 ",货币金融服务,金融
8,000002.SZ,万科A,14.42 ,1.37 ,-0.34 ,-2.30 ,-1.27 ,"36,206.62 ","520,648.83 ",110.46 ,80.66 ,"1,592.78 ","1,163.15 ",房地产业,金融
9,601668.SH,中国建筑,9.34 ,1.18 ,-0.06 ,-0.64 ,-0.31 ,"116,809.55 ","1,078,571.39 ",300.00 ,130.08 ,"2,802.00 ","1,214.91 ",土木工程建筑业,工业
10,601601.SH,中国太保,34.78 ,1.09 ,-1.43 ,-3.95 ,-1.74 ,"11,628.95 ","407,503.05 ",90.62 ,32.40 ,"3,151.76 ","1,126.77 ",保险业,金融
11,000651.SZ,格力电器,48.48 ,1.08 ,-0.56 ,-1.14 ,-0.50 ,"5,880.75 ","285,452.24 ",30.08 ,21.65 ,"1,458.21 ","1,049.40 ",电气机械和器材制造业,可选消费
12,601988.SH,中国银行,4.66 ,1.04 ,-0.14 ,-2.92 ,-1.23 ,"161,902.45 ","755,823.48 ","2,943.88 ",215.86 ,"13,718.47 ","1,005.93 ",货币金融服务,金融
13,601328.SH,交通银行,6.81 ,1.03 ,-0.19 ,-2.71 ,-1.12 ,"55,618.39 ","379,639.38 ",742.63 ,200.91 ,"5,057.29 ","1,368.18 ",货币金融服务,金融
14,601288.SH,农业银行,3.92 ,1.00 ,-0.09 ,-2.24 ,-0.90 ,"138,051.24 ","541,391.92 ","3,247.94 ",259.70 ,"12,731.93 ","1,018.02 ",货币金融服务,金融
15,600887.SH,伊利股份,38.50 ,0.97 ,0.46 ,1.21 ,0.47 ,"6,302.75 ","239,931.23 ",30.64 ,27.13 ,"1,179.78 ","1,044.49 ",食品制造业,日常消费
16,601818.SH,光大银行,5.21 ,0.96 ,-0.18 ,-3.34 ,-1.29 ,"77,770.43 ","406,774.65 ",466.79 ,159.75 ,"2,431.98 ",832.28 ,货币金融服务,金融
17,000001.SZ,平安银行,16.14 ,0.92 ,-0.52 ,-3.12 ,-1.16 ,"24,428.37 ","395,960.65 ",137.10 ,59.53 ,"2,212.77 ",960.86 ,货币金融服务,金融
18,600519.SH,贵州茅台,258.49 ,0.92 ,2.45 ,0.96 ,0.35 ,"1,005.31 ","254,739.99 ",11.42 ,4.05 ,"2,951.95 ","1,046.21 ",酒、饮料和精制茶制造业,日常消费
19,601398.SH,工商银行,5.33 ,0.92 ,-0.15 ,-2.74 ,-1.02 ,"79,666.23 ","424,984.67 ","3,564.06 ",221.40 ,"18,996.45 ","1,180.06 ",货币金融服务,金融
20,601390.SH,中国中铁,19.28 ,0.88 ,0.81 ,4.39 ,1.56 ,"87,516.79 ","1,644,919.68 ",213.00 ,51.43 ,"4,106.62 ",991.47 ,土木工程建筑业,工业
21,601688.SH,华泰证券,30.46 ,0.86 ,-1.47 ,-4.60 ,-1.60 ,"20,372.78 ","625,453.45 ",56.00 ,28.69 ,"1,705.76 ",873.83 ,资本市场服务,金融
22,000776.SZ,广发证券,28.70 ,0.85 ,-1.20 ,-4.01 ,-1.37 ,"12,770.86 ","368,745.85 ",76.21 ,27.38 ,"2,187.25 ",785.73 ,资本市场服务,金融
23,600104.SH,上汽集团,27.17 ,0.84 ,-0.84 ,-3.00 ,-1.02 ,"9,140.49 ","249,053.22 ",110.26 ,25.00 ,"2,995.65 ",679.17 ,汽车制造业,可选消费
